Region,District,P_Code,<5 Male,<5 Female,<5 Total,5-17 Male,5-17 Female,50-17 Total,18-59 Male,18-59 Female,18-59 Total,60+ Male,60+ Female,60+ Total,Male Total,Female Total,Total
Banadir,Bondhere,SO2202,6506,6022,12528,14552,14184,28736,11612,12881,24493,1626,1626,3252,34296,34713,69009
Banadir,Cabdulasis,SO2201,1525,1411,2936,3411,3324,6735,2722,3018,5740,381,381,762,8039,8134,16173
Banadir,Daynile,SO2203,69209,64055,133264,154783,150875,305658,123527,137006,260533,17302,17302,34604,364821,369238,734059
Banadir,Dharkenley,SO2204,10568,9781,20349,23635,23038,46673,18861,20920,39781,2642,2643,5285,55706,56382,112088
Banadir,Hamar Jabjab,SO2205,4578,4237,8815,10239,9980,20219,8172,9063,17235,1145,1144,2289,24134,24424,48558
Banadir,Hamar Weyne,SO2206,6866,6355,13221,15356,14969,30325,12254,13593,25847,1717,1717,3434,36193,36634,72827
Banadir,Hawl Wadaag,SO2207,11211,10376,21587,25073,24440,49513,20010,22192,42202,2802,2804,5606,59096,59812,118908
Banadir,Heliwa,SO2209,34784,32194,66978,77792,75828,153620,62083,68857,130940,8695,8695,17390,183354,185574,368928
Banadir,Hodan,SO2208,10462,9683,20145,23397,22807,46204,18671,20710,39381,2615,2616,5231,55145,55816,110961
Banadir,Kahda,SO2210,48010,44435,92445,107371,104661,212032,85690,95041,180731,12003,12001,24004,253074,256138,509212
Banadir,Karaan,SO2211,12510,11578,24088,27978,27271,55249,22329,24765,47094,3128,3128,6256,65945,66742,132687
Banadir,Shangaani,SO2212,2600,2407,5007,5815,5668,11483,4641,5147,9788,649,649,1298,13705,13871,27576
Banadir,Shibis,SO2213,12181,11273,23454,27241,26553,53794,21740,24112,45852,3045,3044,6089,64207,64982,129189
Banadir,Waaberi,SO2214,6522,6036,12558,14586,14217,28803,11641,12911,24552,1630,1630,3260,34379,34794,69173
Banadir,Wadajir (Medina),SO2215,53406,49429,102835,119439,116424,235863,95321,105721,201042,13352,13351,26703,281518,284925,566443
Banadir,Wardhigley,SO2216,10989,10171,21160,24576,23956,48532,19614,21754,41368,2747,2747,5494,57926,58628,116554
Banadir,Yaaqshid,SO2217,8212,7600,15812,18365,17901,36266,14655,16254,30909,2053,2053,4106,43285,43808,87093
Galgaduud,Cabudwaaq,SO1902,26343,21694,48037,49130,43761,92891,28904,38700,67604,5202,6751,11953,109579,110906,220485
Galgaduud,Cadaado,SO1903,16904,13921,30825,31525,28080,59605,18547,24833,43380,3337,4331,7668,70313,71165,141478
Galgaduud,Ceel Buur,SO1904,13497,11115,24612,25173,22421,47594,14808,19828,34636,2666,3459,6125,56144,56823,112967
Galgaduud,Ceel Dheer,SO1905,13073,10766,23839,24381,21716,46097,14343,19204,33547,2582,3351,5933,54379,55037,109416
Galgaduud,Dhuusamarreeb,SO1901,31133,25639,56772,58064,51718,109782,34160,45736,79896,6148,7979,14127,129505,131072,260577
Mudug,Gaalkacyo,SO1801,92187,80610,172797,181973,171277,353250,132750,156309,289059,19724,21010,40734,426634,429206,855840
Mudug,Galdogob,SO1802,20636,18044,38680,40734,38339,79073,29715,34991,64706,4416,4704,9120,95501,96078,191579
Mudug,Hobyo,SO1803,23347,19227,42574,43543,38783,82326,25616,34297,59913,4610,5984,10594,97116,98291,195407
Mudug,Jariiban,SO1804,23984,19752,43736,44730,39843,84573,26315,35235,61550,4735,6147,10882,99764,100977,200741
Mudug,Xarardheere,SO1805,10174,8379,18553,18975,16901,35876,11164,14945,26109,2009,2608,4617,42322,42833,85155
Hiraan,Belet Weyne,SO2001,38483,40611,79094,74284,71364,145648,54820,57918,112738,8512,7626,16138,176099,177519,353618
Hiraan,Bulo Burto,SO2002,11395,12025,23420,21996,21131,43127,16231,17150,33381,2521,2259,4780,52143,52565,104708
Hiraan,Jalalaqsi,SO2003,7242,7643,14885,13980,13431,27411,10316,10900,21216,1603,1435,3038,33141,33409,66550
Middle Shabelle,Adan Yabaal,SO2102,11494,12130,23624,22187,21315,43502,16374,17300,33674,2543,2278,4821,52598,53023,105621
Middle Shabelle,Balcad,SO2103,44749,47224,91973,86378,82985,169363,63748,67346,131094,9899,8867,18766,204774,206422,411196
Middle Shabelle,Cadale,SO2104,9485,10009,19494,18308,17590,35898,13513,14275,27788,2098,1880,3978,43404,43754,87158
Middle Shabelle,Jowhar,SO2101,48932,51638,100570,94453,90743,185196,69706,73642,143348,10823,9695,20518,223914,225718,449632
Gedo,Baardheere,SO2602,24430,23155,47585,43659,42997,86656,33455,35923,69378,3929,4142,8071,105473,106217,211690
Gedo,Belet Xaawo,SO2603,20786,19702,40488,37147,36583,73730,28465,30564,59029,3344,3524,6868,89742,90373,180115
Gedo,Ceel Waaq,SO2604,12422,11774,24196,22200,21864,44064,17009,18266,35275,1998,2106,4104,53629,54010,107639
Gedo,Doolow,SO2605,24686,23398,48084,44116,43447,87563,33806,36299,70105,3971,4186,8157,106579,107330,213909
Gedo,Garbahaarey,SO2601,17786,16858,34644,31785,31303,63088,24357,26153,50510,2861,3016,5877,76789,77330,154119
Gedo,Luuq,SO2606,16949,16065,33014,30289,29831,60120,23210,24922,48132,2726,2874,5600,73174,73692,146866
Lower Juba,Afmadow,SO2802,33116,31388,64504,59183,58285,117468,45349,48696,94045,5328,5616,10944,142976,143985,286961
Lower Juba,Badhaadhe,SO2803,10120,9592,19712,18085,17811,35896,13859,14881,28740,1628,1716,3344,43692,44000,87692
Lower Juba,Jamaame,SO2804,52672,49924,102596,94130,92704,186834,72128,77449,149577,8473,8931,17404,227403,229008,456411
Lower Juba,Kismaayo,SO2801,43069,40822,83891,76969,75802,152771,58980,63329,122309,6930,7304,14234,185948,187257,373205
Middle Juba,Bu'aale,SO2701,17919,16984,34903,32023,31538,63561,24539,26349,50888,2882,3039,5921,77363,77910,155273
Middle Juba,Jilib,SO2702,20269,19212,39481,36223,35675,71898,27758,29804,57562,3261,3437,6698,87511,88128,175639
Middle Juba,Saakow,SO2703,13422,12722,26144,23986,23624,47610,18380,19736,38116,2159,2276,4435,57947,58358,116305
Bari,Bandarbeyla,SO1602,5617,4912,10529,11087,10436,21523,8088,9525,17613,1202,1280,2482,25994,26153,52147
Bari,Bossaso,SO1601,88865,77706,166571,175416,165106,340522,127967,150678,278645,19013,20254,39267,411261,413744,825005
Bari,Caluula,SO1603,10701,9357,20058,21123,19881,41004,15409,18144,33553,2290,2438,4728,49523,49820,99343
